heading,line,cond_num,Hs,Tp,n_runs,static_kN,dyn_mean_kN,dyn_max_kN,dyn_std_kN
90deg,HL7,9,3.1700,3.7700,5,1100.8540,1141.5167,3387.0013,472.3416
90deg,HL9,1,0.5000,1.7000,5,1216.9173,1220.9853,1231.8381,2.4141
90deg,HL9,2,0.8300,2.1900,5,1215.7144,1215.1124,1242.4489,2.4076
90deg,HL9,3,1.1700,2.5900,5,1211.5730,1202.5850,1265.1228,6.2382
90deg,HL9,4,1.5000,2.9400,5,1203.6048,1186.7127,1324.0852,20.7826
90deg,HL9,5,1.8300,3.2500,5,1191.4509,1176.1952,1425.0636,38.8261
90deg,HL9,6,2.1700,3.5300,5,1176.3786,1162.1558,1698.7969,115.6775
90deg,HL9,7,2.5000,3.8000,5,1159.2119,1145.2031,2463.3954,321.1545
90deg,HL9,8,2.8300,4.0400,5,1139.7306,1128.1053,3261.7856,514.4705
90deg,HL9,9,3.1700,4.2700,5,1117.0620,1115.7775,3530.7365,339.8516
90deg,HL11,1,0.5000,1.8800,5,1221.9680,1221.9396,1231.2336,0.9192
90deg,HL11,2,0.8300,2.4200,5,1215.1546,1215.0481,1242.7034,1.3748
90deg,HL11,3,1.1700,2.8700,5,1205.3974,1205.3327,1282.3076,7.9492
90deg,HL11,4,1.5000,3.2500,5,1194.4756,1186.9713,1321.4094,12.4678
90deg,HL11,5,1.8300,3.5900,5,1180.6521,1175.1921,1441.1107,34.0177
90deg,HL11,6,2.1700,3.9100,5,1163.7507,1158.5170,1726.1209,75.8149
90deg,HL11,7,2.5000,4.2000,5,1145.2478,1141.0433,2180.1907,166.1275
90deg,HL11,8,2.8300,4.4700,5,1124.0025,1126.2468,2764.4886,160.1279
90deg,HL11,9,3.1700,4.7200,5,1099.3411,1119.7132,3778.3627,344.3005
90deg,HL13,1,0.5000,2.0400,5,1221.8835,1221.8889,1231.3731,0.6707
90deg,HL13,2,0.8300,2.6300,5,1215.0044,1214.9502,1251.5232,2.9330
90deg,HL13,3,1.1700,3.1200,5,1205.2072,1199.6749,1289.1359,7.6700
90deg,HL13,4,1.5000,3.5300,5,1194.2652,1180.6229,1339.8143,10.6883
90deg,HL13,5,1.8300,3.9100,5,1180.4394,1165.2735,1456.8427,23.0221
90deg,HL13,6,2.1700,4.2500,5,1163.5585,1148.5686,1767.5715,67.1734
90deg,HL13,7,2.5000,4.5600,5,1144.9284,1133.9317,2135.1193,96.1801
90deg,HL13,8,2.8300,4.8600,5,1123.2823,1125.8391,2884.7451,186.5605
90deg,HL13,9,3.1700,5.1300,5,1097.8929,1129.5651,3745.9083,211.4034
90deg,HL15,1,0.5000,2.1900,5,1221.8193,1221.8509,1232.2677,0.7954
90deg,HL15,2,0.8300,2.8300,5,1214.8690,1214.8904,1254.0132,2.7310
90deg,HL15,3,1.1700,3.3500,5,1205.1017,1188.8432,1287.7920,6.9494
90deg,HL15,4,1.5000,3.8000,5,1194.1193,1173.3503,1390.9429,21.9079
90deg,HL15,5,1.8300,4.2000,5,1180.3128,1157.4669,1501.7764,13.7344
90deg,HL15,6,2.1700,4.5600,5,1163.3263,1143.3860,1843.3405,80.2597
90deg,HL15,7,2.5000,4.9000,5,1144.3603,1134.4182,2388.4635,200.3854
90deg,HL15,8,2.8300,5.2200,5,1122.1085,1134.6935,3922.9630,556.8774
90deg,HL15,9,3.1700,5.5200,5,1095.7433,1147.5810,3936.8423,177.4048
90deg,HL17,1,0.5000,2.3300,5,1221.7571,1221.8215,1233.0276,0.8069
90deg,HL17,2,0.8300,3.0100,5,1214.8048,1214.0339,1261.6687,3.0354
90deg,HL17,3,1.1700,3.5600,5,1204.9975,1182.3254,1305.5771,9.2111
90deg,HL17,4,1.5000,4.0400,5,1194.0429,1167.1200,1431.5021,26.4774
90deg,HL17,5,1.8300,4.4700,5,1180.1961,1152.6481,1598.4601,37.0407
90deg,HL17,6,2.1700,4.8600,5,1163.1157,1142.8725,1857.8524,53.1501
90deg,HL17,7,2.5000,5.2200,5,1143.5336,1140.6348,2981.2503,369.2497
90deg,HL17,8,2.8300,5.5500,5,1120.5556,1148.1393,3963.0398,478.9378
90deg,HL17,9,3.1700,5.8700,5,1095.3856,1150.3518,4704.9526,485.1581
90deg,HL19,1,0.5000,2.4700,5,1221.7049,1221.7957,1234.4440,0.4227
90deg,HL19,2,0.8300,3.1800,5,1214.7618,1210.5425,1266.8903,3.9936
90deg,HL19,3,1.1700,3.7700,5,1204.9423,1177.3569,1347.9629,20.6764
90deg,HL19,4,1.5000,4.2700,5,1193.9699,1162.1863,1449.4173,13.3600
90deg,HL19,5,1.8300,4.7200,5,1180.0071,1150.5320,1639.2989,25.7608
90deg,HL19,6,2.1700,5.1300,5,1162.6391,1146.0130,1976.5577,51.1801
90deg,HL19,7,2.5000,5.5200,5,1142.4643,1150.5776,3396.9948,474.0315
90deg,HL19,8,2.8300,5.8700,5,1118.6066,1165.9746,4263.3398,534.1689
90deg,HL19,9,3.1700,6.2100,5,1089.8910,1193.5144,4663.4951,191.2343
90deg,HL21,1,0.5000,2.5900,5,1221.6817,1220.7946,1236.3355,2.2845
90deg,HL21,2,0.8300,3.3500,5,1214.7101,1197.9701,1265.7636,5.5496
90deg,HL21,3,1.1700,3.9600,5,1204.9104,1168.5360,1384.1613,29.3935
90deg,HL21,4,1.5000,4.4900,5,1193.8868,1154.4956,1504.7045,27.4268
90deg,HL21,5,1.8300,4.9700,5,1179.7629,1148.3267,1772.9631,46.2678
90deg,HL21,6,2.1700,5.4000,5,1161.9730,1151.5603,2213.2027,108.9378
90deg,HL21,7,2.5000,5.8000,5,1141.1452,1165.0698,4617.9313,877.6725
90deg,HL21,8,2.8300,6.1700,5,1116.3654,1186.8752,4550.7835,374.1922
90deg,HL21,9,3.1700,6.5300,5,1086.3990,1225.6314,5811.0440,636.1123
90deg,HL23,1,0.5000,2.7100,5,1221.6599,1221.7601,1239.3727,1.3904
90deg,HL23,2,0.8300,3.5000,5,1214.6780,1195.6058,1275.8270,3.5715
90deg,HL23,3,1.1700,4.1500,5,1204.8681,1169.4121,1397.1164,29.5037
90deg,HL23,4,1.5000,4.7000,5,1193.7820,1156.8020,1547.3665,25.4999
90deg,HL23,5,1.8300,5.2000,5,1179.4166,1154.7635,1780.0582,18.5070
90deg,HL23,6,2.1700,5.6500,5,1161.1919,1162.4541,2300.6009,79.8433
90deg,HL23,7,2.5000,6.0700,5,1139.6827,1179.0555,4486.9493,716.0876
90deg,HL23,8,2.8300,6.4600,5,1113.9200,1205.0860,4093.2104,160.8146
90deg,HL23,9,3.1700,6.8300,5,1082.8711,1243.4409,5019.5307,295.9223
90deg,HL25,1,0.5000,2.8300,5,1221.6291,1221.7469,1240.4921,1.1393
90deg,HL25,2,0.8300,3.6500,5,1214.6554,1184.3036,1298.1773,12.9261
90deg,HL25,3,1.1700,4.3200,5,1204.8178,1166.3147,1402.5473,21.7712
90deg,HL25,4,1.5000,4.9000,5,1193.6642,1156.5980,1620.6041,27.0973
90deg,HL25,5,1.8300,5.4200,5,1179.0343,1160.0674,1893.3964,20.2993
90deg,HL25,6,2.1700,5.8900,5,1160.3120,1172.9895,2476.9810,132.9855
90deg,HL25,7,2.5000,6.3300,5,1138.0213,1196.2020,3913.0409,358.5612
90deg,HL25,8,2.8300,6.7400,5,1111.3371,1229.9901,4228.7078,226.9617
90deg,HL27,1,0.5000,2.9400,5,1221.6271,1221.7371,1243.4315,1.0814
90deg,HL27,2,0.8300,3.8000,5,1214.6155,1178.6795,1314.4970,18.0348
90deg,HL27,3,1.1700,4.4900,5,1204.7958,1164.0808,1430.9821,20.3407
90deg,HL27,4,1.5000,5.0900,5,1193.5048,1158.0470,1688.1056,29.8359
90deg,HL27,5,1.8300,5.6300,5,1178.5894,1166.7701,1966.7012,28.0801
90deg,HL27,6,2.1700,6.1200,5,1159.3085,1185.6844,2754.2654,202.9122
90deg,HL27,7,2.5000,6.5800,5,1136.2949,1214.4955,4695.3166,689.1375
90deg,HL29,1,0.5000,3.0500,5,1221.5972,1221.6002,1247.0568,1.4143
90deg,HL29,2,0.8300,3.9300,5,1214.5961,1175.7412,1329.8949,22.4788
